RUS_NW_000643_20150414_G0022DCSS	token-19-21	абсолютно	1966	1974
RUS_NW_000693_20110616_G0022DCV9	token-21-1	абсолютно	2848	2856
RUS_WL_000700_20150921_G0022DDGA	token-20-12	абсолютно	2564	2572
RUS_NW_000612_20160510_G0022DCRF	token-26-7	абстрактного	2507	2518
RUS_NW_000693_20110616_G0022DCV9	token-17-3	авиакомпания	2190	2201
RUS_NW_000693_20110616_G0022DCV9	token-12-6	авиации	1598	1604
RUS_NW_000603_20140820_G0022DCTM	token-12-10	авиационному	1289	1300
RUS_DF_001064_20150614_G0022DCK3	token-16-14	Австрии	1465	1471
RUS_NW_000570_20090503_G0022DCOK	token-10-14	Австрии	1247	1253
RUS_WL_001063_20150604_G0022DDJJ	token-22-4	Австрии	1961	1967
RUS_NW_000570_20090503_G0022DCOK	token-0-2	австрийских	9	19
RUS_WL_001063_20150604_G0022DDJJ	token-15-2	Австрийской	1293	1303
RUS_WL_001063_20150604_G0022DDJJ	token-26-1	австрийском	2258	2268
RUS_SN_000370_20160316_G0T100ELJ	token-0-19	автобуса	112	119
RUS_SN_000370_20160316_G0T100EYD	token-0-2	автобуса	13	20
RUS_SN_000370_20160316_G0T100EYD	token-0-17	автобуса	96	103
RUS_SN_000370_20160316_G0T100EMD	token-0-6	автобусов	48	56
RUS_DF_001064_20150614_G0022DCK3	token-15-12	автовозов	1385	1393
RUS_DF_001064_20150614_G0022DCK3	token-27-4	автомобили	2500	2509
RUS_DF_001064_20150614_G0022DCK3	token-9-2	автомобилисты	704	716
RUS_SN_000370_20160316_G0T100ESB	token-0-18	автомобиля	121	130
RUS_NW_000643_20150414_G0022DCSS	token-33-10	автор	3455	3459
NW_APW_ENG_0079_20070813.rus	token-7-29	агентство	1153	1161
RUS_NW_000560_20151104_G0022DCR4	token-2-27	агентство	313	321
RUS_NW_000560_20151104_G0022DCR4	token-3-36	агентство	559	567
RUS_NW_000560_20151104_G0022DCR4	token-4-35	агентство	862	870
RUS_NW_000649_20150513_G0022DCSY	token-9-7	агентство	1357	1365
RUS_NW_000654_20051210_G0022DCT3	token-5-4	агентство	638	646
RUS_NW_000998_20130409_G0022DD37	token-5-2	агентство	443	451
RUS_WL_000703_20130409_G0022DDGD	token-3-27	агентство	485	493
RUS_WL_000703_20130409_G0022DDGD	token-5-1	агентство	662	670
RUS_NW_001909_20160117_G0021QUCZ	token-5-18	агентство	497	505
RUS_NW_001909_20160117_G0021QUCZ	token-8-16	агентство	627	635
RUS_DF_000694_20081015_G0022DCHD	token-53-0	Агентство	3978	3986
RUS_DF_000694_20081015_G0022DCHD	token-62-0	Агентство	4636	4644
RUS_WL_000703_20130409_G0022DDGD	token-4-0	Агентство	535	543
RUS_WL_000703_20130409_G0022DDGD	token-17-0	Агентство	2118	2126
RUS_NW_000661_20151205_G0022DCTK	token-12-7	Азовском	861	868
RUS_NW_000652_20061019_G0022DCT1	token-2-9	академии	270	277
RUS_NW_000652_20061019_G0022DCT1	token-11-16	академии	1337	1344
RUS_NW_000652_20061019_G0022DCT1	token-15-2	академии	1614	1621
RUS_NW_000652_20061019_G0022DCT1	token-19-24	академии	2212	2219
RUS_NW_000652_20061019_G0022DCT1	token-27-5	академии	2959	2966
RUS_NW_000652_20061019_G0022DCT1	token-29-6	академии	3140	3147
RUS_NW_000652_20061019_G0022DCT1	token-33-10	академии	3812	3819
RUS_NW_000652_20061019_G0022DCT1	token-35-3	академии	4161	4168
RUS_NW_000652_20061019_G0022DCT1	token-36-10	академии	4320	4327
